mime_type_id|type|name|extension
146|application/vnd.data-vision.rdz|RemoteDocs R-Viewer|rdz
147|application/vnd.denovo.fcselayout-link|FCS Express Layout Link|fe_launch
148|application/vnd.dna|New Moon Liftoff/DNA|dna
149|application/vnd.dolby.mlp|Dolby Meridian Lossless Packing|mlp
150|application/vnd.dpgraph|DPGraph|dpg
151|application/vnd.dreamfactory|DreamFactory|dfac
152|application/vnd.dvb.ait|Digital Video Broadcasting|ait
153|application/vnd.dvb.service|Digital Video Broadcasting|svc
154|application/vnd.dynageo|DynaGeo|geo
155|application/vnd.ecowin.chart|EcoWin Chart|mag
156|application/vnd.enliven|Enliven Viewer|nml
157|application/vnd.epson.esf|QUASS Stream Player|esf
158|application/vnd.epson.msf|QUASS Stream Player|msf
159|application/vnd.epson.quickanime|QuickAnime Player|qam
160|application/vnd.epson.salt|SimpleAnimeLite Player|slt
161|application/vnd.epson.ssf|QUASS Stream Player|ssf
162|application/vnd.eszigno3+xml|MICROSEC e-Szign¢|es3
163|application/vnd.ezpix-album|EZPix Secure Photo Album|ez2
164|application/vnd.ezpix-package|EZPix Secure Photo Album|ez3
165|application/vnd.fdf|Forms Data Format|fdf
166|application/vnd.fdsn.seed|Digital Siesmograph Networks - SEED Datafiles|seed
167|application/vnd.flographit|NpGraphIt|gph
168|application/vnd.fluxtime.clip|FluxTime Clip|ftc
169|application/vnd.framemaker|FrameMaker Normal Format|fm
170|application/vnd.frogans.fnc|Frogans Player|fnc
171|application/vnd.frogans.ltf|Frogans Player|ltf
172|application/vnd.fsc.weblaunch|Friendly Software Corporation|fsc
173|application/vnd.fujitsu.oasys|Fujitsu Oasys|oas
174|application/vnd.fujitsu.oasys2|Fujitsu Oasys|oa2
175|application/vnd.fujitsu.oasys3|Fujitsu Oasys|oa3
176|application/vnd.fujitsu.oasysgp|Fujitsu Oasys|fg5
177|application/vnd.fujitsu.oasysprs|Fujitsu Oasys|bh2
178|application/vnd.fujixerox.ddd|Fujitsu - Xerox 2D CAD Data|ddd
179|application/vnd.fujixerox.docuworks|Fujitsu - Xerox DocuWorks|xdw
180|application/vnd.fujixerox.docuworks.binder|Fujitsu - Xerox DocuWorks Binder|xbd
181|application/vnd.fuzzysheet|FuzzySheet|fzs
182|application/vnd.genomatix.tuxedo|Genomatix Tuxedo Framework|txd
183|application/vnd.geogebra.file|GeoGebra|ggb
184|application/vnd.geogebra.tool|GeoGebra|ggt
185|application/vnd.geometry-explorer|GeoMetry Explorer|gex
186|application/vnd.geonext|GEONExT and JSXGraph|gxt
187|application/vnd.geoplan|GeoplanW|g2w
188|application/vnd.geospace|GeospacW|g3w
189|application/vnd.gmx|GameMaker ActiveX|gmx
190|application/vnd.google-earth.kml+xml|Google Earth - KML|kml
191|application/vnd.google-earth.kmz|Google Earth - Zipped KML|kmz
192|application/vnd.grafeq|GrafEq|gqf
193|application/vnd.groove-account|Groove - Account|gac
194|application/vnd.groove-help|Groove - Help|ghf
195|application/vnd.groove-identity-message|Groove - Identity Message|gim
196|application/vnd.groove-injector|Groove - Injector|grv
197|application/vnd.groove-tool-message|Groove - Tool Message|gtm
198|application/vnd.groove-tool-template|Groove - Tool Template|tpl
199|application/vnd.groove-vcard|Groove - Vcard|vcg
200|application/vnd.hal+xml|Hypertext Application Language|hal
201|application/vnd.handheld-entertainment+xml|ZVUE Media Manager|zmm
202|application/vnd.hbci|Homebanking Computer Interface (HBCI)|hbci
203|application/vnd.hhe.lesson-player|Archipelago Lesson Player|les
204|application/vnd.hp-hpgl|HP-GL/2 and HP RTL|hpgl
205|application/vnd.hp-hpid|Hewlett Packard Instant Delivery|hpid
206|application/vnd.hp-hps|Hewlett-Packard's WebPrintSmart|hps
207|application/vnd.hp-jlyt|HP Indigo Digital Press - Job Layout Languate|jlt
208|application/vnd.hp-pcl|HP Printer Command Language|pcl
209|application/vnd.hp-pclxl|PCL 6 Enhanced (Formely PCL XL)|pclxl
210|application/vnd.hydrostatix.sof-data|Hydrostatix Master Suite|sfd-hdstx
211|application/vnd.hzn-3d-crossword|3D Crossword Plugin|x3d
212|application/vnd.ibm.minipay|MiniPay|mpy
213|application/vnd.ibm.modcap|MO:DCA-P|afp
214|application/vnd.ibm.rights-management|IBM DB2 Rights Manager|irm
215|application/vnd.ibm.secure-container|IBM Electronic Media Management System - Secure Container|sc
216|application/vnd.iccprofile|ICC profile|icc
217|application/vnd.igloader|igLoader|igl
218|application/vnd.immervision-ivp|ImmerVision PURE Players|ivp
219|application/vnd.immervision-ivu|ImmerVision PURE Players|ivu
220|application/vnd.insors.igm|IOCOM Visimeet|igm
221|application/vnd.intercon.formnet|Intercon FormNet|xpw
222|application/vnd.intergeo|Interactive Geometry Software|i2g
223|application/vnd.intu.qbo|Open Financial Exchange|qbo
224|application/vnd.intu.qfx|Quicken|qfx
225|application/vnd.ipunplugged.rcprofile|IP Unplugged Roaming Client|rcprofile
226|application/vnd.irepository.package+xml|iRepository / Lucidoc Editor|irp
227|application/vnd.is-xpr|Express by Infoseek|xpr
228|application/vnd.isac.fcs|International Society for Advancement of Cytometry|fcs
229|application/vnd.jam|Lightspeed Audio Lab|jam
230|application/vnd.jcp.javame.midlet-rms|Mobile Information Device Profile|rms
231|application/vnd.jisp|RhymBox|jisp
232|application/vnd.joost.joda-archive|Joda Archive|joda
233|application/vnd.kahootz|Kahootz|ktz
234|application/vnd.kde.karbon|KDE KOffice Office Suite - Karbon|karbon
235|application/vnd.kde.kchart|KDE KOffice Office Suite - KChart|chrt
236|application/vnd.kde.kformula|KDE KOffice Office Suite - Kformula|kfo
237|application/vnd.kde.kivio|KDE KOffice Office Suite - Kivio|flw
238|application/vnd.kde.kontour|KDE KOffice Office Suite - Kontour|kon
239|application/vnd.kde.kpresenter|KDE KOffice Office Suite - Kpresenter|kpr
240|application/vnd.kde.kspread|KDE KOffice Office Suite - Kspread|ksp
241|application/vnd.kde.kword|KDE KOffice Office Suite - Kword|kwd
242|application/vnd.kenameaapp|Kenamea App|htke
243|application/vnd.kidspiration|Kidspiration|kia
244|application/vnd.kinar|Kinar Applications|kne
245|application/vnd.koan|SSEYO Koan Play File|skp
246|application/vnd.kodak-descriptor|Kodak Storyshare|sse
247|application/vnd.las.las+xml|Laser App Enterprise|lasxml
248|application/vnd.llamagraphics.life-balance.desktop|Life Balance - Desktop Edition|lbd
249|application/vnd.llamagraphics.life-balance.exchange+xml|Life Balance - Exchange Format|lbe
250|application/vnd.lotus-1-2-3|Lotus 1-2-3|123
251|application/vnd.lotus-approach|Lotus Approach|apr
252|application/vnd.lotus-freelance|Lotus Freelance|pre
253|application/vnd.lotus-notes|Lotus Notes|nsf
254|application/vnd.lotus-organizer|Lotus Organizer|org
255|application/vnd.lotus-screencam|Lotus Screencam|scm
256|application/vnd.lotus-wordpro|Lotus Wordpro|lwp
257|application/vnd.macports.portpkg|MacPorts Port System|portpkg
258|application/vnd.mcd|Micro CADAM Helix D&D|mcd
259|application/vnd.medcalcdata|MedCalc|mc1
260|application/vnd.mediastation.cdkey|MediaRemote|cdkey
261|application/vnd.mfer|Medical Waveform Encoding Format|mwf
262|application/vnd.mfmp|Melody Format for Mobile Platform|mfm
263|application/vnd.micrografx.flo|Micrografx|flo
264|application/vnd.micrografx.igx|Micrografx iGrafx Professional|igx
265|application/vnd.mif|FrameMaker Interchange Format|mif
266|application/vnd.mobius.daf|Mobius Management Systems - UniversalArchive|daf
267|application/vnd.mobius.dis|Mobius Management Systems - Distribution Database|dis
268|application/vnd.mobius.mbk|Mobius Management Systems - Basket file|mbk
269|application/vnd.mobius.mqy|Mobius Management Systems - Query File|mqy
270|application/vnd.mobius.msl|Mobius Management Systems - Script Language|msl
271|application/vnd.mobius.plc|Mobius Management Systems - Policy Definition Language File|plc
272|application/vnd.mobius.txf|Mobius Management Systems - Topic Index File|txf
273|application/vnd.mophun.application|Mophun VM|mpn
274|application/vnd.mophun.certificate|Mophun Certificate|mpc
275|application/vnd.mozilla.xul+xml|XUL - XML User Interface Language|xul
276|application/vnd.ms-artgalry|Microsoft Artgalry|cil
277|application/vnd.ms-cab-compressed|Microsoft Cabinet File|cab
278|application/vnd.ms-excel|Microsoft Excel|xls
279|application/vnd.ms-excel.addin.macroenabled.12|Microsoft Excel - Add-In File|xlam
280|application/vnd.ms-excel.sheet.binary.macroenabled.12|Microsoft Excel - Binary Workbook|xlsb
281|application/vnd.ms-excel.sheet.macroenabled.12|Microsoft Excel - Macro-Enabled Workbook|xlsm
282|application/vnd.ms-excel.template.macroenabled.12|Microsoft Excel - Macro-Enabled Template File|xltm
283|application/vnd.ms-fontobject|Microsoft Embedded OpenType|eot
284|application/vnd.ms-htmlhelp|Microsoft Html Help File|chm
285|application/vnd.ms-ims|Microsoft Class Server|ims
286|application/vnd.ms-lrm|Microsoft Learning Resource Module|lrm
287|application/vnd.ms-officetheme|Microsoft Office System Release Theme|thmx
288|application/vnd.ms-pki.seccat|Microsoft Trust UI Provider - Security Catalog|cat
289|application/vnd.ms-pki.stl|Microsoft Trust UI Provider - Certificate Trust Link|stl
290|application/vnd.ms-powerpoint|Microsoft PowerPoint|ppt
291|application/vnd.ms-powerpoint.addin.macroenabled.12|Microsoft PowerPoint - Add-in file|ppam
292|application/vnd.ms-powerpoint.presentation.macroenabled.12|Microsoft PowerPoint - Macro-Enabled Presentation File|pptm
293|application/vnd.ms-powerpoint.slide.macroenabled.12|Microsoft PowerPoint - Macro-Enabled Open XML Slide|sldm
294|application/vnd.ms-powerpoint.slideshow.macroenabled.12|Microsoft PowerPoint - Macro-Enabled Slide Show File|ppsm
295|application/vnd.ms-powerpoint.template.macroenabled.12|Micosoft PowerPoint - Macro-Enabled Template File|potm
296|application/vnd.ms-project|Microsoft Project|mpp
297|application/vnd.ms-word.document.macroenabled.12|Micosoft Word - Macro-Enabled Document|docm
298|application/vnd.ms-word.template.macroenabled.12|Micosoft Word - Macro-Enabled Template|dotm
299|application/vnd.ms-works|Microsoft Works|wps
300|application/vnd.ms-wpl|Microsoft Windows Media Player Playlist|wpl
301|application/vnd.ms-xpsdocument|Microsoft XML Paper Specification|xps
302|application/vnd.mseq|3GPP MSEQ File|mseq
303|application/vnd.musician|MUsical Score Interpreted Code Invented  for the ASCII designation of Notation|mus
304|application/vnd.muvee.style|Muvee Automatic Video Editing|msty
305|application/vnd.neurolanguage.nlu|neuroLanguage|nlu
306|application/vnd.noblenet-directory|NobleNet Directory|nnd
307|application/vnd.noblenet-sealer|NobleNet Sealer|nns
308|application/vnd.noblenet-web|NobleNet Web|nnw
309|application/vnd.nokia.n-gage.data|N-Gage Game Data|ngdat
310|application/vnd.nokia.n-gage.symbian.install|N-Gage Game Installer|n-gage
311|application/vnd.nokia.radio-preset|Nokia Radio Application - Preset|rpst
312|application/vnd.nokia.radio-presets|Nokia Radio Application - Preset|rpss
313|application/vnd.novadigm.edm|Novadigm's RADIA and EDM products|edm
314|application/vnd.novadigm.edx|Novadigm's RADIA and EDM products|edx
315|application/vnd.novadigm.ext|Novadigm's RADIA and EDM products|ext
316|application/vnd.oasis.opendocument.chart|OpenDocument Chart|odc
317|application/vnd.oasis.opendocument.chart-template|OpenDocument Chart Template|otc
318|application/vnd.oasis.opendocument.database|OpenDocument Database|odb
319|application/vnd.oasis.opendocument.formula|OpenDocument Formula|odf
320|application/vnd.oasis.opendocument.formula-template|OpenDocument Formula Template|odft
321|application/vnd.oasis.opendocument.graphics|OpenDocument Graphics|odg
322|application/vnd.oasis.opendocument.graphics-template|OpenDocument Graphics Template|otg
323|application/vnd.oasis.opendocument.image|OpenDocument Image|odi
324|application/vnd.oasis.opendocument.image-template|OpenDocument Image Template|oti
325|application/vnd.oasis.opendocument.presentation|OpenDocument Presentation|odp
326|application/vnd.oasis.opendocument.presentation-template|OpenDocument Presentation Template|otp
327|application/vnd.oasis.opendocument.spreadsheet|OpenDocument Spreadsheet|ods
328|application/vnd.oasis.opendocument.spreadsheet-template|OpenDocument Spreadsheet Template|ots
329|application/vnd.oasis.opendocument.text|OpenDocument Text|odt
330|application/vnd.oasis.opendocument.text-master|OpenDocument Text Master|odm
331|application/vnd.oasis.opendocument.text-template|OpenDocument Text Template|ott
332|application/vnd.oasis.opendocument.text-web|Open Document Text Web|oth
333|application/vnd.olpc-sugar|Sugar Linux Application Bundle|xo
334|application/vnd.oma.dd2+xml|OMA Download Agents|dd2
335|application/vnd.openofficeorg.extension|Open Office Extension|oxt
336|application/vnd.openxmlformats-officedocument.presentationml.presentation|Microsoft Office - OOXML - Presentation|pptx
337|application/vnd.openxmlformats-officedocument.presentationml.slide|Microsoft Office - OOXML - Presentation (Slide)|sldx
338|application/vnd.openxmlformats-officedocument.presentationml.slideshow|Microsoft Office - OOXML - Presentation (Slideshow)|ppsx
339|application/vnd.openxmlformats-officedocument.presentationml.template|Microsoft Office - OOXML - Presentation Template|potx
340|application/vnd.openxmlformats-officedocument.spreadsheetml.sheet|Microsoft Office - OOXML - Spreadsheet|xlsx
