mime_type_id|type|name|extension
446|application/x-authorware-bin|Adobe (Macropedia) Authorware - Binary File|aab
447|application/x-authorware-map|Adobe (Macropedia) Authorware - Map|aam
448|application/x-authorware-seg|Adobe (Macropedia) Authorware - Segment File|aas
449|application/x-bcpio|Binary CPIO Archive|bcpio
450|application/x-bittorrent|BitTorrent|torrent
451|application/x-bzip|Bzip Archive|bz
452|application/x-bzip2|Bzip2 Archive|bz2
453|application/x-cdlink|Video CD|vcd
454|application/x-chat|pIRCh|chat
455|application/x-chess-pgn|Portable Game Notation (Chess Games)|pgn
456|application/x-cpio|CPIO Archive|cpio
457|application/x-csh|C Shell Script|csh
458|application/x-debian-package|Debian Package|deb
459|application/x-director|Adobe Shockwave Player|dir
460|application/x-doom|Doom Video Game|wad
461|application/x-dtbncx+xml|Navigation Control file for XML (for ePub)|ncx
462|application/x-dtbook+xml|Digital Talking Book|dtb
463|application/x-dtbresource+xml|Digital Talking Book - Resource File|res
464|application/x-dvi|Device Independent File Format (DVI)|dvi
465|application/x-font-bdf|Glyph Bitmap Distribution Format|bdf
466|application/x-font-ghostscript|Ghostscript Font|gsf
467|application/x-font-linux-psf|PSF Fonts|psf
468|application/x-font-otf|OpenType Font File|otf
469|application/x-font-pcf|Portable Compiled Format|pcf
470|application/x-font-snf|Server Normal Format|snf
471|application/x-font-ttf|TrueType Font|ttf
472|application/x-font-type1|PostScript Fonts|pfa
473|application/x-font-woff|Web Open Font Format|woff
474|application/x-futuresplash|FutureSplash Animator|spl
475|application/x-gnumeric|Gnumeric|gnumeric
476|application/x-gtar|GNU Tar Files|gtar
477|application/x-hdf|Hierarchical Data Format|hdf
478|application/x-java-jnlp-file|Java Network Launching Protocol|jnlp
479|application/x-latex|LaTeX|latex
480|application/x-mobipocket-ebook|Mobipocket|prc
481|application/x-ms-application|Microsoft ClickOnce|application
482|application/x-ms-wmd|Microsoft Windows Media Player Download Package|wmd
483|application/x-ms-wmz|Microsoft Windows Media Player Skin Package|wmz
484|application/x-ms-xbap|Microsoft XAML Browser Application|xbap
485|application/x-msaccess|Microsoft Access|mdb
486|application/x-msbinder|Microsoft Office Binder|obd
487|application/x-mscardfile|Microsoft Information Card|crd
488|application/x-msclip|Microsoft Clipboard Clip|clp
489|application/x-msdownload|Microsoft Application|exe
490|application/x-msmediaview|Microsoft MediaView|mvb
491|application/x-msmetafile|Microsoft Windows Metafile|wmf
492|application/x-msmoney|Microsoft Money|mny
493|application/x-mspublisher|Microsoft Publisher|pub
494|application/x-msschedule|Microsoft Schedule+|scd
495|application/x-msterminal|Microsoft Windows Terminal Services|trm
496|application/x-mswrite|Microsoft Wordpad|wri
497|application/x-netcdf|Network Common Data Form (NetCDF)|nc
498|application/x-pkcs12|PKCS #12 - Personal Information Exchange Syntax Standard|p12
499|application/x-pkcs7-certificates|PKCS #7 - Cryptographic Message Syntax Standard (Certificates)|p7b
500|application/x-pkcs7-certreqresp|PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response)|p7r
501|application/x-rar-compressed|RAR Archive|rar
502|application/x-sh|Bourne Shell Script|sh
503|application/x-shar|Shell Archive|shar
504|application/x-shockwave-flash|Adobe Flash|swf
505|application/x-silverlight-app|Microsoft Silverlight|xap
506|application/x-stuffit|Stuffit Archive|sit
507|application/x-stuffitx|Stuffit Archive|sitx
